timestamp,latitude,longitude,distance,confidence
2025-06-08 23:30:55,0,0,0,0
2025-06-08 23:30:56,0,0,0,0
2025-06-08 23:30:57,0,0,0,0
2025-06-08 23:30:58,0,0,0,0
2025-06-08 23:30:59,0,0,0,0
2025-06-08 23:31:00,0,0,0,0
2025-06-08 23:31:01,0,0,0,0
2025-06-08 23:31:02,0,0,0,0
2025-06-08 23:31:03,0,0,0,0
2025-06-08 23:31:04,0,0,0,0
2025-06-08 23:31:05,0,0,0,0
2025-06-08 23:31:06,0,0,0,0
2025-06-08 23:31:07,0,0,0,0
2025-06-08 23:31:08,0,0,0,0
2025-06-08 23:31:09,0,0,0,0
2025-06-08 23:31:10,0,0,0,0
2025-06-08 23:31:11,0,0,0,0
