timestamp,latitude,longitude,distance,confidence
2025-06-06 06:15:37,0,0,0,0
2025-06-06 06:15:38,0,0,0,0
2025-06-06 06:15:39,0,0,0,0
2025-06-06 06:15:40,0,0,0,0
2025-06-06 06:15:41,0,0,0,0
2025-06-06 06:15:42,0,0,0,0
2025-06-06 06:15:43,0,0,0,0
2025-06-06 06:15:44,0,0,0,0
2025-06-06 06:15:45,0,0,0,0
2025-06-06 06:15:46,0,0,0,0
2025-06-06 06:15:47,0,0,0,0
2025-06-06 06:15:48,0,0,0,0
2025-06-06 06:15:49,0,0,0,0
2025-06-06 06:15:50,0,0,0,0
2025-06-06 06:15:51,0,0,0,0
2025-06-06 06:15:52,0,0,0,0
2025-06-06 06:15:53,0,0,0,0
2025-06-06 06:15:54,0,0,0,0
2025-06-06 06:15:55,0,0,0,0
2025-06-06 06:15:56,0,0,0,0
2025-06-06 06:15:57,0,0,0,0
2025-06-06 06:15:58,0,0,0,0
2025-06-06 06:15:59,0,0,0,0
2025-06-06 06:16:00,0,0,0,0
2025-06-06 06:16:01,0,0,0,0
2025-06-06 06:16:02,0,0,0,0
2025-06-06 06:16:03,0,0,0,0
2025-06-06 06:16:04,0,0,0,0
2025-06-06 06:16:05,0,0,0,0
2025-06-06 06:16:06,0,0,0,0
2025-06-06 06:16:07,0,0,0,0
2025-06-06 06:16:08,0,0,0,0
2025-06-06 06:16:09,0,0,0,0
2025-06-06 06:16:10,0,0,0,0
2025-06-06 06:16:11,0,0timestamp,latitude,longitude,distance,confidence
2025-06-06 06:17:46,0,0,0,0
2025-06-06 06:17:47,0,0,0,0
2025-06-06 06:17:48,0,0,0,0
2025-06-06 06:17:49,0,0,0,0
2025-06-06 06:17:50,0,0,0,0
2025-06-06 06:17:51,0,0,0,0
2025-06-06 06:17:52,0,0,0,0
2025-06-06 06:17:53,0,0,0,0
2025-06-06 06:17:55,0,0,0,0
2025-06-06 06:17:56,0,0,0,0
2025-06-06 06:17:57,0,0,0,0
2025-06-06 06:17:58,0,0,0,0
2025-06-06 06:17:59,0,0,0,0
